,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kavaratti,IN,80.73,overcast clouds,10.5669,72.642,Green leaf
2,Atuona,PF,76.24,clear sky,-9.8,-139.0333,Villa Enata
3,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
10,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Turkistan,KZ,61.02,overcast clouds,43.0,68.0,
13,Touho,NC,74.46,few clouds,-20.7833,165.2333,Auberge Timay Evasion
14,Hermanus,ZA,61.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Akyab,MM,78.33,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
16,Saint George,US,81.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
20,San Jose,US,74.52,scattered clouds,37.3394,-121.895,The Westin San Jose
22,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
24,Grand-Santi,GF,81.5,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
25,Sao Filipe,CV,77.23,scattered clouds,14.8961,-24.4956,Hotel Xaguate
27,Kibuye,RW,64.62,light rain,-2.0597,29.3482,Rebero Kivu Resort
28,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
33,Teofilo Otoni,BR,74.86,broken clouds,-17.8575,-41.5053,Hotel Nobre Palace
34,Luwuk,ID,77.86,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
35,Shimoda,JP,67.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
37,Katsuura,JP,68.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
39,Felipe Carrillo Puerto,MX,83.1,light rain,19.5833,-88.05,Hotel La Ceiba
41,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
42,Sitka,US,60.69,broken clouds,57.0531,-135.33,Westmark Sitka
43,Emerald,AU,72.34,broken clouds,-23.5333,148.1667,The Irish Village
44,Bethel,US,61.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
47,Alofi,NU,77.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
48,Buala,SB,83.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
50,Nkhotakota,MW,75.34,clear sky,-12.9274,34.2961,Sitima Inn
51,Rosetta,EG,74.14,clear sky,31.4044,30.4164,Green Valley
