,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kenai,US,60.5544,-151.2583,44.15,97,100,10.36,light rain
1,Kavaratti,IN,10.5669,72.642,80.73,76,100,3.44,overcast clouds
2,Atuona,PF,-9.8,-139.0333,76.24,76,4,9.26,clear sky
3,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,89,10.0,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,56.48,57,61,4.79,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,57.31,44,0,20.71,clear sky
6,Vaini,TO,-21.2,-175.2,78.96,89,75,4.61,broken clouds
7,Chuy,UY,-33.6971,-53.4616,58.41,93,100,19.13,overcast clouds
8,Busselton,AU,-33.65,115.3333,53.06,84,54,8.3,broken clouds
9,Avarua,CK,-21.2078,-159.775,80.65,65,75,10.36,broken clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,16.11,clear sky
11,Jamestown,US,42.097,-79.2353,57.52,51,75,8.05,broken clouds
12,Turkistan,KZ,43.0,68.0,61.02,53,100,6.29,overcast clouds
13,Touho,NC,-20.7833,165.2333,74.46,66,14,9.57,few clouds
14,Hermanus,ZA,-34.4187,19.2345,61.81,89,5,5.66,light rain
15,Akyab,MM,20.15,92.9,78.33,86,100,2.21,overcast clouds
16,Saint George,US,37.1041,-113.5841,81.43,19,0,4.61,clear sky
17,Yellowknife,CA,62.456,-114.3525,35.96,61,97,18.52,overcast clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,26.19,87,100,26.02,light snow
19,Saskylakh,RU,71.9167,114.0833,17.87,91,65,15.77,broken clouds
20,San Jose,US,37.3394,-121.895,74.52,58,40,11.5,scattered clouds
21,Tiksi,RU,71.6872,128.8694,18.64,88,100,19.86,overcast clouds
22,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,8.05,few clouds
23,Ola,RU,59.5833,151.2833,19.58,69,73,11.25,broken clouds
24,Grand-Santi,GF,4.25,-54.3833,81.5,58,83,3.06,broken clouds
25,Sao Filipe,CV,14.8961,-24.4956,77.23,75,42,10.69,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,47.86,53,0,5.75,clear sky
27,Kibuye,RW,-2.0597,29.3482,64.62,84,96,0.49,light rain
28,Victoria,HK,22.2855,114.1577,81.32,46,100,24.0,overcast clouds
29,Bursa,TR,40.1667,29.0833,55.44,87,97,4.27,overcast clouds
30,Atasu,KZ,48.6814,71.6433,42.57,67,65,7.05,broken clouds
31,Albany,US,42.6001,-73.9662,57.61,69,51,2.3,broken clouds
32,Atar,MR,20.5169,-13.0499,91.67,19,7,4.23,clear sky
33,Teofilo Otoni,BR,-17.8575,-41.5053,74.86,52,62,8.19,broken clouds
34,Luwuk,ID,-0.9516,122.7875,77.86,84,68,2.26,broken clouds
35,Shimoda,JP,34.6667,138.95,67.1,88,100,3.6,overcast clouds
36,Klaksvik,FO,62.2266,-6.589,43.72,88,46,22.06,scattered clouds
37,Katsuura,JP,35.1333,140.3,68.02,90,100,7.16,light rain
38,Bilibino,RU,68.0546,166.4372,-9.63,99,85,2.75,overcast clouds
39,Felipe Carrillo Puerto,MX,19.5833,-88.05,83.1,77,68,5.66,light rain
40,Mar Del Plata,AR,-38.0023,-57.5575,55.94,88,0,11.99,clear sky
41,Pisco,PE,-13.7,-76.2167,64.45,72,0,21.85,clear sky
42,Sitka,US,57.0531,-135.33,60.69,77,75,9.22,broken clouds
43,Emerald,AU,-23.5333,148.1667,72.34,74,59,7.18,broken clouds
44,Bethel,US,41.3712,-73.414,61.63,68,0,0.0,clear sky
45,Hilo,US,19.7297,-155.09,95.29,77,100,10.36,overcast clouds
46,Portree,GB,57.4129,-6.1942,45.52,87,100,5.39,overcast clouds
47,Alofi,NU,-19.0595,-169.9187,77.4,78,26,16.71,scattered clouds
48,Buala,SB,-8.145,159.5921,83.75,71,57,6.87,light rain
49,Jumla,NP,29.2747,82.1838,45.21,67,0,5.44,clear sky
50,Nkhotakota,MW,-12.9274,34.2961,75.34,46,0,2.8,clear sky
51,Rosetta,EG,31.4044,30.4164,74.14,65,0,16.08,clear sky
52,Rikitea,PF,-23.1203,-134.9692,68.68,61,52,18.07,broken clouds
53,Tupik,RU,54.4253,119.9327,22.77,74,57,2.59,broken clouds
54,Mumford,GH,5.2618,-0.759,77.5,88,83,7.47,light rain
55,Narsaq,GL,60.9167,-46.05,34.02,71,10,6.62,clear sky
56,Hamilton,US,39.1834,-84.5333,70.77,39,75,13.8,broken clouds
57,Pecanha,BR,-18.5486,-42.5569,67.08,44,1,4.16,clear sky
58,Nome,US,64.5011,-165.4064,32.07,86,100,10.36,light snow
59,Bukama,CD,-9.2,25.85,72.82,74,15,4.27,few clouds
60,Galle,LK,6.0367,80.217,76.8,84,100,1.72,overcast clouds
61,Cayhagan,PH,9.6697,122.4256,78.67,84,100,6.11,light rain
